115/03/04 00:10拒絕往來廠商資料,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
82798285,SASC-113111,清羽清潔有限公司,臺北市松山區南京東路4段197號7樓,中華民國(Republic of China (Taiwan)),3.10.4,國立臺灣科技大學,臺北市大安區基隆路4段43號,洪小姐,(02)27333141#1128,張蔚清,,113學年度學生活動中心清潔維護案,12 因可歸責於廠商之事由，致解除或終止契約，情節重大者,114/07/16 00:00,114/07/16 00:00,114/07/17 00:00,1年,115/07/16 23:59,,,,,,一般
13009476,1110204,福慧營造有限公司,臺中市東勢區新盛里東坑路30號2樓,中華民國(Republic of China (Taiwan)),3.76.47.66,彰化縣埔鹽鄉公所,彰化縣埔鹽鄉好修村中正路192號,李紫綺,(04)8652301#203,林茂生,,埔鹽鄉轄內道路路名牌標誌交通工程開口契約,3 擅自減省工料，情節重大者,114/07/16 00:00,114/07/16 00:00,114/07/17 00:00,3年,117/07/16 23:59,,,,,,一般
23298658,S44-109,尚極實業有限公司,彰化縣福興鄉番婆村番婆街18號,中華民國(Republic of China (Taiwan)),3.11.94.20,法務部矯正署宜蘭監獄,宜蘭縣三星鄉拱照村三星路三段365巷安農新1號,李潔妤,(03)9894166#338,林聖哲,,109年度防彈衣採購案,12 因可歸責於廠商之事由，致解除或終止契約，情節重大者,114/07/15 00:00,114/07/15 00:00,114/07/16 00:00,1年,115/07/15 23:59,,,,,,一般
42809151,UHA115J002,安得富企業有限公司,高雄市林園區沿海路4段182號2樓,中華民國(Republic of China (Taiwan)),3.13.50,台灣中油股份有限公司,高雄市楠梓區左楠路2號,張淵迪,(07)5824141#2789,薛萬福,,石化事業部業務助理、護理師及其他勞務服務工作,1 容許他人借用本人名義或證件參加投標者,114/07/15 00:00,114/07/15 00:00,114/07/16 00:00,3年,117/07/15 23:59,,,,,,一般
23298658,109015,尚極實業有限公司,彰化縣福興鄉番婆村番婆街18號,中華民國(Republic of China (Taiwan)),3.11.94.56,法務部矯正署臺中看守所,臺中市南屯區培德路11號,陳鴻儀,(04)23853880#113,林聖哲,,防彈衣,3 擅自減省工料，情節重大者,114/07/14 00:00,114/07/15 00:00,114/07/15 00:00,3年,117/07/14 23:59,無,,,,,一般
81909713,UHA115J002,和鑫企業行,高雄市林園區五福里溪州三路35號1樓,中華民國(Republic of China (Taiwan)),3.13.50,台灣中油股份有限公司,高雄市楠梓區左楠路2號,張淵迪,(07)5824141#2789,林意鑫,S1239*****,石化事業部業務助理、護理師及其他勞務服務工作,2 借用或冒用他人名義或證件投標者,114/07/15 00:00,114/07/15 00:00,114/07/16 00:00,3年,117/07/15 23:59,,,,,,一般
16124512,PD13011P009,來喜企業有限公司,高雄市前金區七賢二路338號1樓,中華民國(Republic of China (Taiwan)),3.5.48,國防部海軍司令部,臺北市中山區北安路305號,供應處採購科,(07)5820072#4111,王義博,,工業用內視鏡乙項,2 借用或冒用他人名義或證件投標者,114/07/15 00:00,114/07/15 00:00,114/07/16 00:00,3年,117/07/15 23:59,廠商申訴遭駁回,,,,,一般
54205064,PD13011P009,欣嘉盛企業有限公司,高雄市三民區河堤路500之9號9樓,中華民國(Republic of China (Taiwan)),3.5.48,國防部海軍司令部,臺北市中山區北安路305號,供應處採購科,(07)5820072#4111,佘淑卿,,工業用內視鏡乙項,1 容許他人借用本人名義或證件參加投標者,114/07/15 00:00,114/07/15 00:00,114/07/16 00:00,3年,117/07/15 23:59,申訴駁回,,,,,一般
59241737,EY13010P023,勝風環保機械有限公司,高雄市仁武區中華路282號1樓,中華民國(Republic of China (Taiwan)),3.5.49,國防部空軍司令部,屏東縣屏東市勝利路350號,採購室,(08)7655840,羅雅婷,,修護棚廠噴塗及集塵設備維護案,1 容許他人借用本人名義或證件參加投標者,114/07/15 00:00,114/07/15 00:00,114/07/16 00:00,3年,117/07/15 23:59,,,,,,一般
80592863,EY13010P023,永鋒防治污染企業有限公司,高雄市仁武區中華路282號1樓,中華民國(Republic of China (Taiwan)),3.5.49,國防部空軍司令部,屏東縣屏東市勝利路350號,採購室,(08)7655840,邱威宏,,修護棚廠噴塗及集塵設備維護案,2 借用或冒用他人名義或證件投標者,114/07/15 00:00,114/07/15 00:00,114/07/16 00:00,3年,117/07/15 23:59,,,,,,一般
59033576,B1090305,峻峯營造有限公司,屏東縣九如鄉九塊村維新街106巷26號1樓,中華民國(Republic of China (Taiwan)),3.97.25,高雄市政府水利局,高雄市鳳山區光復路二段132號,水利養護科-王鴻甲,(07)7995678#2511,葉國麟,,荖濃溪勤和段河段疏濬工程併辦土石標售(第一期)工程,6 犯第八十七條至第九十二條之罪，經第一審判處拘役、罰金或緩刑者,114/07/11 00:00,114/07/11 00:00,114/07/12 00:00,1年,115/07/11 23:59,,,,,,一般
58430485,B1090305,湟承營造有限公司,屏東縣高樹鄉長榮村興中路一巷46號1樓,中華民國(Republic of China (Taiwan)),3.97.25,高雄市政府水利局,高雄市鳳山區光復路二段132號,水利養護科-王鴻甲,(07)7995678#2511,黃啟明,,荖濃溪勤和段河段疏濬工程併辦土石標售(第一期)工程,6 犯第八十七條至第九十二條之罪，經第一審判處拘役、罰金或緩刑者,114/07/11 00:00,114/07/11 00:00,114/07/12 00:00,1年,115/07/11 23:59,,,,,,一般
23657507,B1090305,砂源營造有限公司,屏東縣屏東市潭墘里崇陽街131巷34號1樓,中華民國(Republic of China (Taiwan)),3.97.25,高雄市政府水利局,高雄市鳳山區光復路二段132號,水利養護科-王鴻甲,(07)7995678#2511,林琪評,,荖濃溪勤和段河段疏濬工程併辦土石標售(第一期)工程,6 犯第八十七條至第九十二條之罪，經第一審判處拘役、罰金或緩刑者,114/07/11 00:00,114/07/11 00:00,114/07/12 00:00,1年,115/07/11 23:59,,,,,,一般
25039642,B1090305,戩銓營造有限公司,屏東縣里港鄉玉田村玉田路2之16號1樓,中華民國(Republic of China (Taiwan)),3.97.25,高雄市政府水利局,高雄市鳳山區光復路二段132號,水利養護科-王鴻甲,(07)7995678#2511,陳坤宏,,荖濃溪勤和段河段疏濬工程併辦土石標售(第一期)工程,6 犯第八十七條至第九十二條之罪，經第一審判處拘役、罰金或緩刑者,114/07/11 00:00,114/07/11 00:00,114/07/12 00:00,1年,115/07/11 23:59,廠商未提異議,,,,,一般
56673801,B1090305,曜聖營造有限公司,屏東縣九如鄉九明村忠孝街185號,中華民國(Republic of China (Taiwan)),3.97.25,高雄市政府水利局,高雄市鳳山區光復路二段132號,水利養護科-王鴻甲,(07)7995678#2511,林家成,,荖濃溪勤和段河段疏濬工程併辦土石標售(第一期)工程,6 犯第八十七條至第九十二條之罪，經第一審為有罪判決者,114/07/11 00:00,114/07/11 00:00,114/07/12 00:00,3年,117/07/11 23:59,廠商未提異議,,,,,一般
23492891,6751153361,承岡有限公司,高雄市永安區永華路16號,中華民國(Republic of China (Taiwan)),3.13.32.15.8,台灣電力股份有限公司核能火力發電工程處南部施工處,高雄市永安區興達路6號,歐陽方,(07)6912510#2930,邱顏淑華,,111~112年度廠區施工供電及電氣雜項安裝工程,2 借用或冒用他人名義或證件投標者,114/07/11 00:00,114/07/11 00:00,114/07/12 00:00,3年,117/07/11 23:59,採購申訴審議委員會審議結果：招標機關通知申訴廠商有採購法第101條第1項第2款情形，依同法第103條第1項第1款將刊登政府採購公報3年，於法並無違誤，招標機關原異議處理結果為相同之認定，亦屬適法，應予維持。據此，爰依同法第82條第1項前段規定，駁回廠商之申訴。,,,,,一般
23403321,6751153361,憲旺機械工業有限公司,臺南市新營區府西路68號,中華民國(Republic of China (Taiwan)),3.13.32.15.8,台灣電力股份有限公司核能火力發電工程處南部施工處,高雄市永安區興達路6號,歐陽方,(07)6912510#2930,江佑呈,,111~112年度廠區施工供電及電氣雜項安裝工程,1 容許他人借用本人名義或證件參加投標者,114/07/11 00:00,114/07/11 00:00,114/07/12 00:00,3年,117/07/11 23:59,採購申訴審議委員會審議結果：招標機關通知申訴廠商有採購法第101條第1項第1款情形，依同法第103條第1項第1款將刊登政府採購公報3年，於法並無違誤，招標機關原異議處理結果為相同之認定，亦屬適法，應予維持。據此，爰依同法第82條第1項前段規定，駁回廠商之申訴。,,,,,一般
23298658,10910A04,尚極實業有限公司,彰化縣福興鄉番婆村番婆街18號,中華民國(Republic of China (Taiwan)),3.11.94.58,法務部矯正署南投看守所,南投縣南投市三和里嘉和一路1號,孫文政,(049)2241876#124,林聖哲,,109年防彈衣採購案,3 擅自減省工料，情節重大者,114/07/11 00:00,114/07/11 00:00,114/07/12 00:00,3年,117/07/11 23:59,,,,,,一般
55996796,FA13085P061,"亞拓科技股份有限公司 (ALIGN MACHINE TOOL CO., LTD)",臺中市豐原區水源路345號,中華民國(Republic of China (Taiwan)),3.5.47,國防部陸軍司令部,桃園市中壢區成章一街2號,賴雨婕,(03)4602281,杜大森,,訓練用無人機等2項採購案,2 借用或冒用他人名義或證件投標者,114/07/10 00:00,114/07/10 00:00,114/07/11 00:00,3年,117/07/10 23:59,申訴駁回,,,,,一般
91010225,JE14066P034,"捷能精密工業有限公司 (JIENENG PRECISION INDUSTRY CO., LTD.)",臺南市新營區新進路37號2樓之1,中華民國(Republic of China (Taiwan)),3.5.10.100,國防部軍備局生產製造中心,高雄市前鎮區中山三路98號,陳敬雲,(07)3346141#757817,陳淑楨,,準星座等3項,10 因可歸責於廠商之事由，致延誤履約期限，情節重大者;12 因可歸責於廠商之事由，致解除或終止契約，情節重大者,114/07/09 00:00,114/07/09 00:00,114/07/10 00:00,1年,115/07/09 23:59,無。,,,,,一般
91010225,JE14134P089,"捷能精密工業有限公司 (JIENENG PRECISION INDUSTRY CO., LTD.)",臺南市新營區新進路37號2樓之1,中華民國(Republic of China (Taiwan)),3.5.10.100,國防部軍備局生產製造中心,高雄市前鎮區中山三路98號,王得傳,(07)3346141#757816,陳淑楨,,上方撥彈鉤總成等10項,10 因可歸責於廠商之事由，致延誤履約期限，情節重大者;12 因可歸責於廠商之事由，致解除或終止契約，情節重大者,114/07/09 00:00,114/07/09 00:00,114/07/10 00:00,1年,115/07/09 23:59,廠商於函告法定期間未提出陳述意見及異議。,,,,,一般
91122544,1090113,西成營造有限公司,澎湖縣西嶼鄉竹灣村竹篙灣221-5號,中華民國(Republic of China (Taiwan)),3.76.56.54,澎湖縣西嶼鄉公所,澎湖縣西嶼鄉赤馬村78-1號,許智維,(06)9982611#45,陳文樂,,109年度區域及中小排水疏浚清淤工程(開口契約),15 對採購有關人員行求、期約或交付不正利益者,114/07/09 00:00,114/07/09 00:00,114/07/10 00:00,3年,117/07/09 23:59,,,,,,一般
42728854,DBA1320009,菁采工程有限公司,新北市板橋區大觀路2段174巷166弄16之3號,中華民國(Republic of China (Taiwan)),3.13.50,台灣中油股份有限公司,臺北市信義區松仁路三號,楊欣茹,(02)87258311,胡育秀,,114年基隆供油中心管線設備除鏽油漆等工作,2 借用或冒用他人名義或證件投標者,114/07/08 00:00,114/07/08 00:00,114/07/09 00:00,3年,117/07/08 23:59,,,,,,一般
53851578,yctrb1130113,品銓貿易有限公司,臺南市南區大恩里國民路165巷21弄17號1樓,中華民國(Republic of China (Taiwan)),A.17.2.4,勞動部勞動力發展署雲嘉南分署,臺南市官田區工業路40號,陳淑珍,(06)6985945#2313,黃聖峯,,114年至115年汽車美容職業訓練相關用品開口契約,2 借用或冒用他人名義或證件投標者,114/07/07 00:00,114/07/07 00:00,114/07/08 00:00,3年,117/07/07 23:59,,,,,,一般
54398317,112AC02,香港商利和醫療設備有限公司台灣分公司,新北市三重區光復路一段88-11號4樓,中華民國(Republic of China (Taiwan)),3.79.14.14,臺北市立聯合醫院,臺北市大同區鄭州路145號,蔡小姐,(02)25553000#2133,Gerald Tan Ming Liang,,消化醫療耗材,12 因可歸責於廠商之事由，致解除或終止契約，情節重大者,114/07/03 00:00,114/07/07 00:00,114/07/04 00:00,1年,115/07/03 23:59,廠商未提異議,,,,,一般
09839247,FA13085P061,友翔空拍工作室,苗栗縣頭份市東庄里18鄰東民街6號,中華民國(Republic of China (Taiwan)),3.5.47,國防部陸軍司令部,臺北市南港區忠孝東路6段360號,賴雨婕,(03)4602281,張芳豪,M1226*****,訓練用無人機等2項採購案,1 容許他人借用本人名義或證件參加投標者,114/07/07 00:00,114/07/07 00:00,114/07/08 00:00,3年,117/07/07 23:59,全案駁回,,,,,一般
85007258,TH130400,兆億鑫消防科技有限公司,臺南市中西區南美里民生路1段167號3樓,中華民國(Republic of China (Taiwan)),3.9.20.1,國立臺灣大學醫學院附設醫院,臺北市中正區台北市中山南路7號,劉浩欣,(02)23123456#262056,伍君翎,,114-115年度消防安全設備檢修及申報委外作業1式,1 容許他人借用本人名義或證件參加投標者,114/07/04 00:00,114/07/04 00:00,114/07/05 00:00,3年,117/07/04 23:59,,,,,,一般
22149152,6751153361,上合工程興業股份有限公司,高雄市苓雅區福德一路255號,中華民國(Republic of China (Taiwan)),3.13.32.15.8,台灣電力股份有限公司核能火力發電工程處南部施工處,高雄市永安區興達路6號,歐陽方,(07)6912510#2930,郝麗娟,,111~112年度廠區施工供電及電氣雜項安裝工程,1 容許他人借用本人名義或證件參加投標者,114/07/04 00:00,114/07/04 00:00,114/07/05 00:00,3年,117/07/04 23:59,採購申訴審議委員會審議結果：招標機關通知申訴廠商有採購法第101條第1項第1款情形，依同法第103條第1項第1款將刊登政府採購公報3年，於法並無違誤，招標機關原異議處理結果為相同之認定，亦屬適法，應予維持。據此，爰依同法第82條第1項前段規定，駁回廠商之申訴。,,,,,一般
54219497,1070612-1,昌虹科技有限公司,新竹市東區西大路97巷19弄12號,中華民國(Republic of China (Taiwan)),3.76.45.54,苗栗縣竹南鎮公所,苗栗縣竹南鎮正南里23鄰中正路112號,行政室黃素玲,(037)462101#111,楊勝利,,竹南鎮公所107年發光二極體先進照明推廣補助計畫改善工程,6 犯第八十七條至第九十二條之罪，經第一審為有罪判決者,114/07/03 00:00,114/07/03 00:00,114/07/04 00:00,3年,117/07/03 23:59,,,,,,一般
24837161,1070612-1,家耕國際有限公司,臺中市西屯區潮洋里市政北二路236號27樓之1,中華民國(Republic of China (Taiwan)),3.76.45.54,苗栗縣竹南鎮公所,苗栗縣竹南鎮正南里23鄰中正路112號,行政室黃素玲,(037)462101#111,龔立仁,,竹南鎮公所107年發光二極體先進照明推廣補助計畫改善工程,6 犯第八十七條至第九十二條之罪，經第一審為有罪判決者,114/07/03 00:00,114/07/03 00:00,114/07/04 00:00,3年,117/07/03 23:59,,,,,,一般
54729040,1070612-1,馳晨智宅科技有限公司,桃園市龜山區楓福里楓樹六街2之1號（1樓）,中華民國(Republic of China (Taiwan)),3.76.45.54,苗栗縣竹南鎮公所,苗栗縣竹南鎮正南里23鄰中正路112號,行政室黃素玲,(037)462101#111,林志憲,,竹南鎮公所107年發光二極體先進照明推廣補助計畫改善工程,6 犯第八十七條至第九十二條之罪，經第一審為有罪判決者,114/07/03 00:00,114/07/03 00:00,114/07/04 00:00,3年,117/07/03 23:59,,,,,,一般
23712924,GM12177P139,嘉揚興業有限公司,新北市新店區寶宏路9號4樓,中華民國(Republic of China (Taiwan)),3.5.47,國防部陸軍司令部,南投縣集集鎮龍泉巷15號,吳清宗,(049)2781711,吳新五,,輸出軸總成等7項,4 以虛偽不實之文件投標、訂約或履約，情節重大者;8 查驗或驗收不合格，情節重大者;12 因可歸責於廠商之事由，致解除或終止契約，情節重大者,114/07/03 00:00,114/07/03 00:00,114/07/04 00:00,3年,117/07/03 23:59,廠商4月24日來函異議，經中心審認廠商所為涉及偽造文書，屬中大違失情節，故維持原解除契約之處理。,,,,,一般
82990178,TH130400,億富消防有限公司,臺中市中區綠川里民族路23號4樓之2,中華民國(Republic of China (Taiwan)),3.9.20.1,國立臺灣大學醫學院附設醫院,臺北市中正區台北市中山南路7號,劉浩欣,(02)23123456#262056,藍妤妃,,114-115年度消防安全設備檢修及申報委外作業1式,1 容許他人借用本人名義或證件參加投標者,114/07/03 00:00,114/07/03 00:00,114/07/04 00:00,3年,117/07/03 23:59,,,,,,一般
89144199,113-0342-2-007,景泉工程有限公司,基隆市七堵區開元路124之1號3樓,中華民國(Republic of China (Taiwan)),3.7.74.32,臺灣菸酒股份有限公司宜蘭酒廠,宜蘭縣宜蘭市宜蘭市舊城西路3號,張志維,(03)9355526#374,簡志強,,宜蘭酒廠火警受信總機及線路工程,1 容許他人借用本人名義或證件參加投標者,114/07/02 00:00,114/07/02 00:00,114/07/03 00:00,3年,117/07/02 23:59,,,,,,一般
58196523,114D120P008,良興五金鐵網股份有限公司,彰化縣花壇鄉文德村彰員路二段1116號,中華民國(Republic of China (Taiwan)),3.15.28.3,交通部高速公路局南區養護工程分局,臺南市東區裕農路991號,黃淑惠,(06)2363201#2307,李青鴻,,採購鍍鋅鏈式鐵絲網1批（114）,2 借用或冒用他人名義或證件投標者,114/07/02 00:00,114/07/02 00:00,114/07/03 00:00,3年,117/07/02 23:59,"一、因押標金支票號碼連號，經本分局114年5月2日召開會議，認定貴公司有該當採購法第101條第1項第1、2款規定，今貴公司雖提聲明異議，然法律規定如此，且本分局重新省察處置尚無不妥。
二、爰此，本案仍維持原處分，依採購法第102條第3項及第103條第1項第1款規定，將貴公司名稱及相關情形刊登政府採購公報。",,,,,一般
97335299,114D120P008,張吉興鐵網有限公司,彰化縣花壇鄉花壇村花秀路73巷12號,中華民國(Republic of China (Taiwan)),3.15.28.3,交通部高速公路局南區養護工程分局,臺南市東區裕農路991號,黃淑惠,(06)2363201#2307,張凱鈞,,採購鍍鋅鏈式鐵絲網1批（114）,1 容許他人借用本人名義或證件參加投標者,114/07/02 00:00,114/07/02 00:00,114/07/03 00:00,3年,117/07/02 23:59,"一、因押標金支票號碼連號，經本分局114年5月2日召開會議，認定貴公司有該當採購法第101條第1項第1、2款規定，今貴公司雖提聲明異議，然法律規定如此，且本分局重新省察處置尚無不妥。
二、爰此，本案仍維持原處分，依採購法第102條第3項及第103條第1項第1款規定，將貴公司名稱及相關情形刊登政府採購公報。",,,,,一般
55833674,N113220830117,順裕通運有限公司,臺中市梧棲區下寮里仁美街255巷65號2樓,中華民國(Republic of China (Taiwan)),3.71.1.26,金門縣農業試驗所,金門縣金湖鎮后壟31號,唐嘉御,(082)333381,洪秀勤,,運送台中選二號小麥種子乙批抵金,1 容許他人借用本人名義或證件參加投標者,114/07/01 00:00,114/07/01 00:00,114/07/02 00:00,3年,117/07/01 23:59,,,,,,一般
91035871,111-083-1,時睿傑股份有限公司 (Strategist Group),臺北市中正區和平西路2段141號4樓之6,中華民國(Republic of China (Taiwan)),3.80.35,桃園市政府客家事務局,桃園市龍潭區中正路三林段500號,溫婉蓉,(03)4096682#1003,廖偉辰,,「112年網路社群平臺行銷服務」勞務採購案後續擴充,4 以虛偽不實之文件投標、訂約或履約，情節重大者;8 查驗或驗收不合格，情節重大者,114/07/01 00:00,114/07/01 00:00,114/07/02 00:00,3年,117/07/01 23:59,廠商未提出書面意見及異議。,,,,,一般
97036525,AASC-114046,增明環保工程事業有限公司,桃園市八德區大發里和成路54號,中華民國(Republic of China (Taiwan)),3.10.4,國立臺灣科技大學,臺北市大安區基隆路四段43號,林小姐,(02)27301129,柯春良,,114年度華夏校區廢棄物清運暨電子館廢棄物搬遷清運作業                              ,1 容許他人借用本人名義或證件參加投標者;2 借用或冒用他人名義或證件投標者,114/07/01 00:00,114/07/01 00:00,114/07/02 00:00,3年,117/07/01 23:59,,,,,,一般
81279454,yctrb1130113,郁承實業社,臺南市永康區龍國街128巷19弄1號,中華民國(Republic of China (Taiwan)),A.17.2.4,勞動部勞動力發展署雲嘉南分署,臺南市官田區工業路40號,陳淑珍,(06)6985945#2313,戴育郎,R1226*****,114年至115年汽車美容職業訓練相關用品開口契約,1 容許他人借用本人名義或證件參加投標者,114/06/30 00:00,114/06/30 00:00,114/07/01 00:00,3年,117/06/30 23:59,,,,,,一般
42919158,yctrb1130113,日嘉興業有限公司,臺南市永康區尚頂里中正二街182巷27號,中華民國(Republic of China (Taiwan)),A.17.2.4,勞動部勞動力發展署雲嘉南分署,臺南市官田區工業路40號,陳淑珍,(06)6985945#2313,廖秋傑,,114年至115年汽車美容職業訓練相關用品開口契約,1 容許他人借用本人名義或證件參加投標者,114/06/30 00:00,114/06/30 00:00,114/07/01 00:00,3年,117/06/30 23:59,,,,,,一般
16614898,1071217FR,弘昌消防工程顧問股份有限公司,新北市新店區永安街56巷22號(1樓),中華民國(Republic of China (Taiwan)),3.79.56,臺北市政府都市發展局,臺北市信義區市府路1號9樓,黃士恆,(02)27772186#4005,洪建欽,,臺北市出租國宅社區108年度消防安全設備保養檢測維護申報,6 犯第八十七條至第九十二條之罪，經第一審判處拘役、罰金或緩刑者,114/06/30 00:00,114/06/30 00:00,114/07/01 00:00,1年,115/06/30 23:59,"本局於114年3月17日通知廠商將刊登政府採購公報，廠商3月18日接獲通知；廠商於4月7日提出異議，本局於同一日收文；本局於4月16日通知廠商異議處理結果，廠商於4月22接獲異議處理結果；廠商於4月30日向臺北市政府採購申訴審議委員會提出申訴，本府於5月1日收受申訴。
本府於5月28日召開採購申訴案預審會議，並經6月18日第264次委員會議審議結果為無理由，申訴駁回。",,,,,一般
25090210,GR13A0062Z,振哲企業有限公司,臺北市萬華區西藏路336號1樓,中華民國(Republic of China (Taiwan)),3.5.47,國防部陸軍司令部,新北市鶯歌區八德路99號,胡少瑋,(02)26705340#234135,林振順,,工具袋(大)等5項,10 因可歸責於廠商之事由，致延誤履約期限，情節重大者;12 因可歸責於廠商之事由，致解除或終止契約，情節重大者,114/06/27 00:00,114/06/27 00:00,114/06/28 00:00,1年,115/06/27 23:59,,,,,,一般
16325320,1101115A,高盛營造有限公司,臺北市文山區興隆路1段227之1號,中華民國(Republic of China (Taiwan)),3.82.65,新北市石碇區公所,新北市石碇區潭邊里碇坪路1段37號,朱先生,(02)26631080#263,李宇璿,,111年度新北市石碇區災害緊急搶修復建作業工程,15 對採購有關人員行求、期約或交付不正利益者,114/06/27 00:00,114/06/27 00:00,114/06/28 00:00,3年,117/06/27 23:59,,,,,,一般
16325320,1111128A,高盛營造有限公司,臺北市文山區興隆路1段227之1號,中華民國(Republic of China (Taiwan)),3.82.65,新北市石碇區公所,新北市石碇區潭邊里碇坪路1段37號,朱先生,(02)26631080#263,李宇璿,,112年度新北市石碇區災害緊急搶修復建作業工程(開口合約),15 對採購有關人員行求、期約或交付不正利益者,114/06/27 00:00,114/06/27 00:00,114/06/28 00:00,3年,117/06/27 23:59,,,,,,一般
70730542,A111003,佳暘營造有限公司,屏東縣霧臺鄉佳暮村流川巷10之4一樓,中華民國(Republic of China (Taiwan)),3.76.53.84,屏東縣三地門鄉公所,屏東縣三地門三地村中正路二段100號,林裕章,(08)7991104#601,麥秋春,,(110年7月及8月豪雨)三地門鄉口社村沙溪林道災後復建工程,6 犯第八十七條至第九十二條之罪，經第一審判處拘役、罰金或緩刑者,114/06/27 00:00,114/06/27 00:00,114/06/28 00:00,1年,115/06/27 23:59,,,,,,一般
89429358,A111003,沁琳營造有限公司,屏東縣屏東市崇蘭里崇德一路59號2樓,中華民國(Republic of China (Taiwan)),3.76.53.84,屏東縣三地門鄉公所,屏東縣三地門三地村中正路二段100號,林裕章,(08)7991104#601,張宸瀠,,(110年7月及8月豪雨)三地門鄉口社村沙溪林道災後復建工程,6 犯第八十七條至第九十二條之罪，經第一審判處拘役、罰金或緩刑者,114/06/27 00:00,114/06/27 00:00,114/06/28 00:00,1年,115/06/27 23:59,,,,,,一般
97224836,A111003,鼎信營造有限公司,屏東縣屏東市崇蘭里博愛路432號1樓,中華民國(Republic of China (Taiwan)),3.76.53.84,屏東縣三地門鄉公所,屏東縣三地門三地村中正路二段100號,林裕章,(08)7991104#601,施正元,,(110年7月及8月豪雨)三地門鄉口社村沙溪林道災後復建工程,6 犯第八十七條至第九十二條之罪，經第一審判處拘役、罰金或緩刑者,114/06/27 00:00,114/06/27 00:00,114/06/28 00:00,1年,115/06/27 23:59,,,,,,一般
61817595,pkvs111213,新知造科技股份有限公司,臺中市南屯區文心路一段306號2樓之2,中華民國(Republic of China (Taiwan)),3.92.4.61,國立北港高級農工職業學校,雲林縣北港鎮太平路80號,程郁芷,(05)7832246#542,陳媛美,,PowerMILL數控模擬軟體,1 容許他人借用本人名義或證件參加投標者,114/06/27 00:00,114/06/27 00:00,114/06/28 00:00,3年,117/06/27 23:59,,,,,,一般
16870587,pkvs111213,愛信科技國際股份有限公司,新北市中和區中山路二段303號9樓之13,中華民國(Republic of China (Taiwan)),3.92.4.61,國立北港高級農工職業學校,雲林縣北港鎮太平路80號,程郁芷,(05)7832246#542,黃叔康,,PowerMILL數控模擬軟體,1 容許他人借用本人名義或證件參加投標者,114/06/27 00:00,114/06/27 00:00,114/06/28 00:00,3年,117/06/27 23:59,,,,,,一般
84075187,pkvs111213,達康科技國際股份有限公司,新北市板橋區遠東路1號4樓,中華民國(Republic of China (Taiwan)),3.92.4.61,國立北港高級農工職業學校,雲林縣北港鎮太平路80號,程郁芷,(05)7832246#542,林非凡,,PowerMILL數控模擬軟體,2 借用或冒用他人名義或證件投標者,114/06/27 00:00,114/06/27 00:00,114/06/28 00:00,3年,117/06/27 23:59,,,,,,一般
54367102,111-1-49,蹦世界數位創意股份有限公司 (Popworld Inc.),臺北市松山區八德路4段277號5樓,中華民國(Republic of China (Taiwan)),A.25.100.3,國立臺灣文學館,臺南市中西區中正路1號,陳小姐,(06)2217201#2113,黃勝宏,,112年展覽數位內容建置採購案,3 擅自減省工料，情節重大者;4 以虛偽不實之文件投標、訂約或履約，情節重大者,114/06/25 00:00,114/06/25 00:00,114/06/26 00:00,3年,117/06/25 23:59,"(一)機關原依政府採購法第101條第1項第3款、第4款、第８款及第103條第1項第1款、第3款規定，通知廠商將刊登政府採購公報3年，針對廠商異議之處理結果亦維持原決定。
(二)案經行政院公共工程委員會採購申訴審議委員會審議結果，有關政府採購法第101條第1項第3款、第4款部分，申訴駁回；政府採購法第101條第1項第8款部分，原處分及異議處理結果均撤銷，結果並經採購申訴審議委員會114年6月6日第1054次委員會議審議通過。",,,,,一般
97249153,3710200503,寬亞工業有限公司,新竹縣竹北市自強北路458巷29號,中華民國(Republic of China (Taiwan)),3.13.31.45,台灣電力股份有限公司台中發電廠,臺中市龍井區麗水里龍昌路1號,張明琳,(04)26302123#2632,許詒翔,,鏈條與鏈條張力調整器一批7項,6 犯第八十七條至第九十二條之罪，經第一審判處拘役、罰金或緩刑者,114/06/24 00:00,114/06/24 00:00,114/06/25 00:00,1年,115/06/24 23:59,無,,,,,一般
23657154,3710200503,怡台企業股份有限公司,高雄市前鎮區興化街135之1號,中華民國(Republic of China (Taiwan)),3.13.31.45,台灣電力股份有限公司台中發電廠,臺中市龍井區麗水里龍昌路1號,張明琳,(04)26302123#2632,廖芙瑳,,鏈條與鏈條張力調整器一批7項,6 犯第八十七條至第九十二條之罪，經第一審判處拘役、罰金或緩刑者,114/06/24 00:00,114/06/24 00:00,114/06/25 00:00,1年,115/06/24 23:59,無,,,,,一般
